subject,predicate,object,context
http://www.wikidata.org/entity/Q116152346,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q116152502,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q116152502,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q116152502,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q116152597,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q116152597,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q116152597,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q116152644,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q116152644,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q116152644,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q116152783,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q116152783,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q116152783,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q116167558,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q116167558,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q116167558,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q116167617,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q116167617,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q116167617,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q116167661,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q116167661,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q116167661,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q116167852,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q116167852,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q116167852,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
